city_id,city_name,ranking,gross_rental_yield_outside_of_centre,price_to_rent_ratio_outside_of_centre,house_price_to_income_ratio,affordability_index,mortgage_as_percentage_of_income,price_to_rent_ratio_city_centre,gross_rental_yield_city_centre
7572,"Naples, FL",59,9.716615783931347,10.291649090969816,17.043313675070916,0.8008557980741253,124.8664244430484,76.86567745694092,1.3009707753635373
10027,"Queens, NY",85,4.3276474291881595,23.107242823327546,14.76321116932017,0.8903256811421546,112.31844943719355,44.56481634240149,2.2439226324120254
8448,"Bellingham, WA",149,6.912064786337158,14.467456988780919,11.749545384764973,1.132820739625543,88.27521999028308,38.72918689132409,2.5820320029079022
7907,"Santa Barbara, CA",154,5.4590183319648515,18.3183118134002,11.547861302413923,1.1636105075959937,85.93940957666229,41.941559006920045,2.384269978698234
11992,"San Mateo, CA",203,5.732654552614911,17.443925686117904,10.130144071859666,1.323437366356621,75.56081046381263,27.730751805808264,3.6061049011680524
3455,"New York, NY",208,5.421913579946898,18.443672796603188,9.963242425837237,1.4071963427018137,71.06328872913373,22.22602245643192,4.499230584150756
3419,"Fremont, CA",232,6.467492620758199,15.461942651320223,9.491250284409862,1.4856348733008482,67.31129014077035,30.461951459841387,3.28278377476348
10672,"Sunnyvale, CA",250,4.8990025425513295,20.412318452874583,9.106635555952622,1.453448911311472,68.80186790313,27.50300802205833,3.63596592488344
3400,"Boston, MA",264,6.830264256237034,14.640721976266923,8.857753047816656,1.5808470213346828,63.2572277079484,21.634684221033233,4.6222075154108335
3427,"Honolulu, HI",270,6.571124551261656,15.218095353374483,8.768360240800426,1.5714975344477138,63.633571041614104,18.303669334298807,5.463385410520523
9798,"Berkeley, CA",276,8.126867790870165,12.304863641603887,8.611612971040556,1.5572199269803737,64.21700510467481,18.28540238423802,5.468843282672292
3441,"Long Beach, CA",296,5.090147647424359,19.645795549879683,8.08602791510663,1.730891222281067,57.77370565679703,19.30515332528797,5.179964039395077
3459,"Oakland, CA",297,8.867091102714483,11.277655641700465,8.085740016341326,1.6860527310073197,59.31012604822611,18.35485892973561,5.448148655503747
3483,"San Francisco, CA",302,5.641602416134416,17.725460361050978,7.997017506171337,1.7644923288436718,56.673524937075356,19.777093145784097,5.056354807193549
8766,"Santa Cruz, CA",314,6.009130603409646,16.641342417030994,7.770803908099308,1.744295302012825,57.3297422085614,15.18215910175784,6.586678438142679
9378,"Bend, OR",319,7.526315478539673,13.286713835626108,7.7131133732346875,1.761414827979768,56.77254353234537,24.22589548661621,4.1278143899880115
8543,"Fort Collins, CO",320,10.588967610998631,9.443791281043415,7.65103562494066,1.7238180799810932,58.01076178589379,28.95220743547873,3.453968068681962
3442,"Los Angeles, CA",321,6.7876698065819046,14.732596435824185,7.647527321739345,1.8447217610782336,54.20871705961247,16.245295867598,6.155628116287784
10377,"Cambridge, MA",325,5.548947521769829,18.021435525868,7.556078027139875,1.776419655609648,56.29300468738682,20.63846238631295,4.845322201246841
3479,"Salt Lake City, UT",330,7.061072905912659,14.162153731094323,7.413690779482659,1.880892331468051,53.16625429694278,32.699089403573346,3.058189136883794
8064,"West Palm Beach, FL",342,14.525126508985418,6.884621620206806,7.130341084292503,1.8900661469227058,52.908201209155614,28.338282044223632,3.528795423940797
3473,"Riverside, CA",347,10.525361112573934,9.500861674050954,7.003590963442826,1.930552708388856,51.79863754326348,23.268264490308017,4.297699127567216
3484,"San Jose, CA",360,6.516621688682947,15.345374455857154,6.560401960386397,2.1400390155798004,46.72812003518871,17.61676210677664,5.676412009987521
3390,"Arlington, VA",363,7.993867279122485,12.509589727761574,6.513844578359966,2.1672864564692347,46.140647306453346,22.859583316987365,4.374532930601942
3447,"Mesa, AZ",370,10.803145480168846,9.256563302194563,6.26885420388345,2.1237844053592916,47.085758680426174,32.50365892861415,3.076576708475315
3489,"Spokane, WA",375,8.697717654563398,11.497269050523087,6.047795995786723,2.231465810353477,44.81359272278495,25.863628706789886,3.8664334820793087
3454,"New Orleans, LA",379,8.846863409218882,11.303441160377238,5.965521629519341,2.310954321284075,43.27216642881773,15.550730745880664,6.430565973659448
3475,"Sacramento, CA",383,11.054854320335629,9.04579989046513,5.830029055041611,2.383829826302414,41.949303132560914,20.50463192974446,4.876946845114436
3496,"Virginia Beach, VA",386,11.812009323660421,8.46596013090608,5.709826246204574,2.452651431763965,40.772202158412405,33.38708562935933,2.9951700819332316
3448,"Miami, FL",387,10.639667550351149,9.398789908308707,5.677846823852009,2.4154448131734316,41.400242081548186,11.388664926980075,8.780660476110516
12428,"Santa Clara, CA",388,7.365857264913939,13.576152293411077,5.668045619063209,2.491476434362478,40.13684360839163,13.425396436909283,7.448569617287324
3399,"Boise, ID",392,8.720157454896086,11.467682839127319,5.515045747003045,2.584979300817278,38.68502930309097,16.893723224687033,5.919358253358182
3497,"Washington, DC",396,10.496400516675866,9.527075480887735,5.198488197740917,2.7222727984772477,36.734011395160984,13.697684715277363,7.300503850002296
3482,"San Diego, CA",398,9.102954003335139,10.98544494055029,5.142111604991943,2.689027811592602,37.18816130085842,14.004547458962058,7.1405377641107615
7567,"Santa Rosa, CA",399,8.548002048614393,11.698640153719866,5.139223369416996,2.6948573372521523,37.107715728642745,11.728047465752717,8.526568492497308
3487,"Seattle, WA",400,8.095540731819913,12.352479384971184,5.095909488730415,2.8228286067328052,35.425459328804905,15.93991130439836,6.273560629688486
8539,"Charleston, SC",401,10.736266489200737,9.31422483789749,5.063054548557766,2.81878814403189,35.47623833019381,14.625991795178772,6.837143176366571
