city_id,mean,median,std_dev,sum_w
9737,51853.0,46703.0,41312.0,408.3866157
3386,53652.0,42119.0,39327.0,810.9768862999999
34698,57071.0,43007.0,50318.0,1165.270709
7700,46221.0,27906.0,47071.0,1511.026247
9002,71180.0,68143.0,47895.0,394.80857610000004
3387,16025.0,300000.0,7037.0,71.0
11671,51081.0,40667.0,43265.0,3750.234706
8914,146228.0,141414.0,71620.0,346.79100780000005
11400,159185.0,169040.0,76007.0,260.7412673
7944,32304.0,19675.0,33323.0,893.1482950999999
11549,143235.0,134230.0,78667.0,816.1821395
9269,72654.0,52706.0,62546.0,262.1521191
9124,92699.0,94744.0,47586.0,205.4509434
13860,77857.0,45874.0,75630.0,236.11469309999998
3388,105938.0,300000.0,67176.0,126.1570034
3389,77110.0,84804.0,54957.0,37.79753595
7859,77541.0,58461.0,66223.0,644.6289568
9016,98432.0,65174.0,77874.0,185.6133519
7593,103427.0,95051.0,51121.0,696.3300243
9131,97787.0,88599.0,55084.0,311.0050392
3390,122415.0,113550.0,64355.0,883.5751916000002
33474,129557.0,119556.0,72516.0,4846.853521999999
7644,43098.0,32415.0,34617.0,436.9221732
11680,97214.0,81067.0,80608.0,139.0197602
8108,20630.0,15472.0,17655.0,592.9683309999999
3391,94627.0,70197.0,77357.0,10451.717129999999
9221,49158.0,33239.0,48032.0,672.0313352000001
10918,36004.0,23387.0,33894.0,434.85186160000006
8400,77668.0,69559.0,48740.0,544.832063
3393,122203.0,118410.0,82938.0,699.6598034
3395,71025.0,56986.0,57439.0,62475.41281
3396,75318.0,63290.0,50914.0,2639.464674
3397,56178.0,39487.0,54542.0,57977.17479
9550,52221.0,38658.0,38630.0,617.1890324
9978,172496.0,300000.0,84829.0,97.85949561
8448,82398.0,75858.0,51702.0,1188.246377
9378,69397.0,53546.0,57794.0,19488.168019999997
9306,39761.0,34063.0,30863.0,628.0203232000001
9798,137482.0,133190.0,83451.0,519.5604103999999
11848,69754.0,300000.0,54966.0,232.39237290000003
9498,31722.0,24879.0,28591.0,396.58769700000005
7585,78956.0,69168.0,54557.0,539.0363708
3398,92018.0,74570.0,65160.0,1035.308758
9103,53655.0,45684.0,35967.0,1188.587858
12522,47023.0,25833.0,53195.0,716.0745981000001
33547,125233.0,115001.0,83572.0,753.1262232
11437,87642.0,300000.0,45280.0,428.1396431
8198,65041.0,300000.0,45050.0,129.3958804
33814,41258.0,21393.0,47485.0,1003.7981980000001
11189,94674.0,70467.0,75598.0,17799.812530000003
3399,68382.0,47698.0,62985.0,1491.107229
3400,48874.0,25568.0,59523.0,306.81118599999996
10622,119826.0,300000.0,76603.0,111.62778020000002
7819,47429.0,35052.0,45535.0,16307.82945
10764,95811.0,300000.0,68394.0,107.7943882
8960,29811.0,19842.0,28481.0,1656.748321
8294,67621.0,66172.0,46242.0,1220.5675119999999
14024,60931.0,50186.0,50595.0,801.7283605
