,country,gross_rental_yield_outside_of_centre,city_name,price_to_rent_ratio_outside_of_centre,house_price_to_income_ratio,affordability_index,mortgage_as_percentage_of_income,price_to_rent_ratio_city_centre,gross_rental_yield_city_centre,city_id
499,United States,17.239320209189597,"Lubbock, TX",5.80069276436399,1.9384631970199588,6.814015969965831,14.675633347613282,7.238981767463677,13.81409750877671,3444
500,United States,18.653056163780878,"Saint Louis, MO",5.361051782719262,1.8861327461859714,7.359257266751136,13.588327785712352,8.32233562073305,12.015857633868386,3476
501,United States,36.307208094334406,"Cleveland, OH",2.7542740201939293,1.8787562057572718,7.348007914158026,13.609130687968038,5.363748937081814,18.643676498103527,3407
502,United States,17.360102475424995,"Albany, NY",5.76033466055631,1.875457344477244,7.233854255130979,13.823889239829503,6.495514726474236,15.395238747196249,7700
503,United States,21.563348091680997,"Mobile, AL",4.6374987583017955,1.8159291991437794,7.359978537019669,13.586996143672689,7.646029407308753,13.078683676577432,3451
504,United States,27.224874198072996,"Rochester, NY",3.6731115549866566,1.6478115156474418,8.11784868108506,12.318534617798967,7.321383885289887,13.658619950378487,3474
505,United States,18.841144810961605,"Akron, OH",5.307533114538821,1.6265051996123416,8.330130796848675,12.004613425497524,8.054399414644523,12.415574998451135,3386
506,United States,35.69676912661493,"Syracuse, NY",2.8013739743589743,1.551925608666803,8.533033954538464,11.719161148633777,4.544790067084158,22.00321654552416,7720
507,United States,43.16036833370847,"Detroit, MI",2.31694037517978,1.5157677198839623,9.075471534435405,11.018711217435504,3.364237506857415,29.724417433717846,3414
508,United States,33.87771709812936,"Memphis, TN",2.9517927583592027,1.4308972055677096,9.984224758684016,10.015800166459858,5.293177762519068,18.892242899548712,3446
