city,city_id,health_care_index,crime_index,restaurant_price_index,climate_index,pollution_index,quality_of_life_index,cpi_index,property_price_to_income_ratio
"Mount Laurel, NJ",33725,0,0,0,0,0,0,0,0
"Laguna Niguel, CA",33733,0,27.941176470588236,82.23687637485149,0,0,0,0,0
"Aliso Viejo, CA",33734,90.27777777777777,8.823529411764707,79.60247181462672,96.8173773370936,25.862068965517242,0,0,0
"Park City, UT",33736,0,17.647058823529413,78.70623108795232,0,0,0,0,0
"Ellisville, MS",33753,0,0,0,0,0,0,0,0
"Poulsbo, WA",33757,0,39.705882352941174,69.20798050189657,0,0,0,0,6.243061999999999
"Ridgewood, NJ",33758,80.55555555555556,8.823529411764707,69.6623473915106,75.88923385022848,0,0,0,0
"Winamac, IN",33759,0,0,0,0,0,0,0,0
"Tahlequah, OK",33762,0,0,54.83363718653407,0,0,0,0,0
"Janesville, WI",33763,0,0,73.31249144196636,0,0,0,0,0
"Malden, MA",33775,38.888888888888886,38.53866721513781,80.06417158291353,0,0,0,0,7.215392540671906
"Springfield, OH",33776,0,81.47058823529412,40.08640341125522,68.37896875376502,0,0,0,0
"Piedmont, CA",33777,0,0,0,0,0,0,0,0
"New London, CT",33778,0,47.64705882352941,0,0,0,0,0,0
"Chelsea, MA",33779,0,52.05882352941177,0,71.72755006197409,0,0,0,0
"West Warwick, RI",33780,50,58.33333333333333,0,70.28993906371781,0,0,0,0
"Dedham, MA",33781,0,27.941176470588236,0,0,0,0,0,0
"Needham, MA",33782,0,17.647058823529413,0,0,0,0,0,0
"Littleton, NH",33783,0,43.312324929971986,0,0,0,0,0,0
"Pawtucket, RI",33784,77.77777777777777,67.64705882352942,0,0,0,0,0,3.5669657975641473
"Farmington, CT",33785,0,16.176470588235293,54.3176197984488,0,43.10344827586207,0,0,2.317462136792692
"Greenfield, MA",33786,0,40.44117647058823,58.907458671417736,0,0,0,0,0
"North Andover, MA",33787,0,41.1764705882353,0,0,0,0,0,0
"Saugus, MA",33788,0,42.279411764705884,0,0,0,0,0,0
"Bedford, MA",33789,0,12.00980392156863,88.96574311548333,70.73791798980527,0,0,0,4.281100733918639
"Greenwich, NY",33793,0,0,0,0,0,0,0,0
"Lisbon, NH",33794,0,17.647058823529413,0,0,0,0,0,0
"Claremont, NH",33795,0,43.38235294117647,0,47.72246292420931,0,0,0,0
"Thief River Falls, MN",33808,61.111111111111114,94.11764705882354,0,0,0,0,0,0
"Madison Heights, MI",33813,0,0,49.440983892944075,0,0,0,0,0
"Bloomsburg, PA",33814,88.88888888888889,17.647058823529413,52.57945596489845,67.37248657610725,22.413793103448278,0,0,0.93107735
