city_id,city_name,ranking,pollution_index,exp_pollution_index
3442,"Los Angeles, CA",117,66.25555123620464,115.51543170172361
3479,"Salt Lake City, UT",137,63.04363150717237,123.31471756455383
3414,"Detroit, MI",167,58.48125843054849,102.40498971213177
3455,"New York, NY",170,57.576751711603414,100.88399592105588
3466,"Phoenix, AZ",179,56.507308345956396,97.68139193737929
3428,"Houston, TX",182,56.076246660389174,96.76943103701586
3438,"Las Vegas, NV",190,53.43888343240027,89.78136989835902
3465,"Philadelphia, PA",195,52.1475267401656,90.71824262843066
3454,"New Orleans, LA",205,49.788535539042634,92.54544256682678
3483,"San Francisco, CA",212,47.5400746004118,81.86641679504866
3484,"San Jose, CA",217,46.005528636886254,77.06496693322327
3467,"Pittsburgh, PA",222,45.297591743268555,78.23737397885851
3480,"San Antonio, TX",225,44.96374888455806,74.85045550532979
3391,"Atlanta, GA",226,44.848306874769655,74.35411322767557
3475,"Sacramento, CA",228,44.71176569974544,75.62985936760113
3405,"Chicago, IL",231,43.49417511524598,73.78615548441046
3406,"Cincinnati, OH",234,43.283579661583474,73.70298268662286
3412,"Denver, CO",236,43.058142287568394,74.6536220269527
3443,"Louisville, KY",237,42.523775314723586,72.7335328114478
3411,"Dallas, TX",240,41.91665595857071,69.50293564172195
3431,"Indianapolis, IN",241,41.780574883951104,70.10480705741604
3448,"Miami, FL",248,39.41048297072279,66.08153515600382
3497,"Washington, DC",250,39.184053905406934,66.480623878025
3435,"Jacksonville, FL",252,38.58181203515889,73.5605657647228
3476,"Saint Louis, MO",254,37.99864705123422,64.67197931062422
3427,"Honolulu, HI",260,36.66418855916888,61.47839501724225
3393,"Austin, TX",261,36.36684958341621,62.06449441810778
8029,"Nashville, TN",262,35.7135860664329,59.51334157277991
3462,"Orlando, FL",263,35.577294424085295,61.301411610608945
3459,"Oakland, CA",265,35.39434263598424,61.219867686458656
3482,"San Diego, CA",269,34.83538491485311,61.31025813614292
3471,"Reno, NV",277,32.35670268116817,52.6063249158108
3437,"Kansas City, MO",278,32.026762308069024,54.391398480741074
3472,"Richmond, VA",281,31.627183265114304,52.43875044282516
3469,"Portland, OR",282,31.19780187079636,53.17755906154244
3408,"Colorado Springs, CO",284,30.887570284122003,53.27756731783137
3492,"Tampa, FL",287,29.941709964198715,51.88786637113176
3449,"Milwaukee, WI",290,29.402530584472512,51.41308174122754
3487,"Seattle, WA",291,28.631997609072208,50.52838897926561
3403,"Charlotte, NC",293,28.43891492111306,47.40039247694179
3400,"Boston, MA",298,26.826656848281765,45.600105491303815
3450,"Minneapolis, MN",299,26.52267097476711,44.22934364102631
3494,"Tucson, AZ",301,26.153246901585657,45.64046332464668
3409,"Columbus, OH",304,25.317379138574395,41.08163912279496
3387,"Albuquerque, NM",305,25.12609536316433,45.48567848249409
3470,"Raleigh, NC",316,22.612670013847477,37.11384322594312
3445,"Madison, WI",330,18.979872665013016,37.951532560240615
