,country,traffic_time_index,city_name,quality_of_life_index,healthcare_index,purchasing_power_incl_rent_index,house_price_to_income_ratio,pollution_index,climate_index,safety_index,city_id,cpi_index
3,United States,32.26923076923077,"Raleigh, NC",198.56589720219478,75.60114939500905,122.59590031073104,3.1804429674876658,22.612670013847477,83.87605961639794,65.54770099169143,3470,70.55288020078272
6,United States,23.59259259259259,"Madison, WI",191.56944747935594,78.89408194851745,110.78632750604692,3.6029482670807464,18.979872665013016,51.63641757180172,66.69959176021993,3445,68.1215836646129
7,United States,25.562499999999996,"Columbus, OH",191.0914026963473,74.1910742825377,121.7297150775245,2.416049228646935,25.317379138574395,71.2887701014351,56.56844380809536,3409,72.48506331173745
8,United States,24.4,"Oklahoma City, OK",190.7822417009007,77.03282828282828,109.75972998752006,2.6461358463118616,20.894261681419827,77.61449209585219,50.535525969292856,3460,62.98398323244038
10,United States,34.121808333333334,"Austin, TX",187.3038537896109,70.68610083864694,127.37334935464237,3.8033070123119836,36.36684958341621,82.08324019030677,64.12591960021774,3393,62.35188583326442
13,United States,35.18867924528302,"Charlotte, NC",186.03266172433712,73.88422035480859,118.29148924079907,3.005832683129334,28.43891492111306,84.04570851306589,55.813493427762694,3403,72.00156078963015
15,United States,33.8,"San Diego, CA",183.7925813500077,70.15436019368988,112.18954694400803,5.171361703634539,34.83538491485311,97.07821201487171,63.490041991064025,3482,79.54454858690772
16,United States,21.959999999999997,"Richmond, VA",183.6794939243494,73.86272141706925,105.52020294888504,3.810935631078139,31.627183265114304,81.27044039093946,54.98309629335724,3472,67.79646291203079
22,United States,35.21685393258428,"Dallas, TX",181.4992550952726,65.61277920488446,143.22328142013365,2.2915805233754707,41.91665595857071,81.85230164905714,49.80059066095881,3411,63.75120239518346
23,United States,22.173913043478258,"Buffalo, NY",180.58112443250172,76.84453227931489,93.1595465676751,2.009661008320319,25.016550166475202,66.43152629278588,55.006549830387534,3402,72.93306478040448
24,United States,41.57360406091371,"Seattle, WA",180.42914001585584,73.49078358697453,122.01559390137658,5.101286643007873,28.631997609072208,91.73157092324982,50.89124239038758,3487,88.20135402915471
27,United States,26.285714285714285,"Kansas City, MO",178.63955593299582,79.39833482676225,111.9911111511434,2.276675392670645,32.026762308069024,75.08058087450975,41.29346356975629,3437,68.1910712697404
30,United States,38.10666666666667,"San Jose, CA",177.76425191058513,73.23148681515617,134.55867097682963,6.378171507677489,46.005528636886254,95.52646524123008,53.474257833664325,3484,78.29237937849712
37,United States,25.104166666666668,"Reno, NV",174.55161072099492,62.23544973544975,115.21494306754761,3.5838033053737903,32.35670268116817,62.281115718026875,54.39562286047221,3471,66.79707976963182
39,United States,33.07964285714286,"Portland, OR",174.49289728621238,73.84072717406049,98.0321613604597,4.40998016029832,31.19780187079636,89.55747164859805,50.821656078829044,3469,77.71240547142247
42,United States,35.836363636363636,"Tampa, FL",173.02069792983693,68.63754780421446,102.6638707734805,3.3527912542323084,29.941709964198715,84.66578304374937,50.769734811106716,3492,78.74551539497617
43,United States,27.16279069767442,"Saint Louis, MO",172.15223234765554,81.38425925925927,118.53166388819272,1.8861327461859714,37.99864705123422,74.75459945257177,29.660288294565472,3476,67.62521413619261
45,United States,29.068181818181817,"Indianapolis, IN",171.52196549264073,73.01368069165622,122.00255004331058,2.11736137848187,41.780574883951104,69.9194447243868,42.436101602036636,3431,65.0389030028637
46,United States,24.892857142857142,"Cincinnati, OH",171.16676489337817,68.77240143369175,109.75843290113538,2.494325857694754,43.283579661583474,73.24468234524991,50.860872771943804,3406,62.94425138095592
49,United States,38.87931034482759,"Nashville, TN",170.0518082198875,63.94739010423104,110.39837051670578,3.059943010586784,35.7135860664329,83.0175638754116,52.22354453392387,8029,71.62134026630457
53,United States,35.225,"Jacksonville, FL",169.3173093899081,69.47685185185186,110.33145503742459,2.950612524271241,38.58181203515889,87.81019357924698,42.567483635701514,3435,68.75499162358423
54,United States,30.294117647058826,"San Antonio, TX",168.64439880627498,72.05639937536326,102.88482145319426,2.5694658235898022,44.96374888455806,80.58015390546015,51.806960820855984,3480,64.03264000571481
58,United States,36.5609756097561,"Minneapolis, MN",168.15001631886798,78.44697091866904,110.63911600370476,3.696533604611474,26.52267097476711,49.46376674331521,47.57694222324048,3450,81.02009750139237
59,United States,29.23913043478261,"Tucson, AZ",168.13770431648987,59.04554043839758,93.55461781842624,3.1493551496379046,26.153246901585657,72.65992931276759,49.47823908128222,3494,66.5703666305031
60,United States,45.41573033707865,"Boston, MA",168.0389781800431,75.11627287510032,98.54844269010209,8.287798008764769,26.826656848281765,71.72755006197409,64.70196282603374,3400,88.0697173688746
61,United States,23.728571428571428,"Spokane, WA",167.8866883221872,63.65542893320671,87.69708526392752,5.475390010764129,19.74569857928179,67.11525590798743,45.526576588082044,3489,72.85882842132281
65,United States,26.992622950819673,"Sacramento, CA",166.9031219597181,69.50185576904244,100.30584795897897,5.797531124499218,44.71176569974544,90.64313410263493,50.940988389278694,3475,76.03145360602092
68,United States,25.12121212121212,"Albuquerque, NM",166.05373767203105,66.55508376778538,102.56310049828619,3.1428710343509816,25.12609536316433,67.06169437766022,29.99462580553113,3387,64.9053972598329
72,United States,38.05882352941176,"Pittsburgh, PA",164.98467111661517,74.84084799608993,99.2756589173428,2.74634222240135,45.297591743268555,72.13183784984773,62.2315832960151,3467,78.47520764095088
77,United States,42.18120805369127,"Atlanta, GA",162.73277618625087,67.34124329184544,123.20312933926508,3.6414745580121712,44.848306874769655,89.7293374928475,37.699106908888226,3391,76.133556502157
79,United States,36.55714285714286,"Denver, CO",162.52792867065514,68.91608713977135,116.1288677036406,4.376334516939538,43.058142287568394,56.27803018466028,56.847988445323786,3412,73.13056747035047
81,United States,36.876543209876544,"Orlando, FL",162.4973477021927,62.4964375484727,92.0190352053037,3.387028324314657,35.577294424085295,87.23152153856908,48.07129126679499,3462,68.78164666928535
82,United States,27.153846153846153,"Anchorage, AK",162.41629054108196,61.16650838873061,106.1315417324534,2.9902704002980665,16.562886139347906,41.61046260276115,36.751146248866185,3389,91.39539262625391
83,United States,41.63068181818182,"Houston, TX",161.8817029541222,71.66986045633705,133.9125819227319,2.218088178333864,56.076246660389174,85.53371190360225,36.10630936175902,3428,64.9807245190144
84,United States,40.76623376623377,"Washington, DC",161.1113855383105,70.62745098039215,110.90093992581455,5.002954751481627,39.184053905406934,81.61594586980448,42.33198519223614,3497,83.62504472021962
86,United States,35.411764705882355,"Salt Lake City, UT",160.73738565780283,71.3769477722966,124.24726965825343,7.0389606643567015,63.04363150717237,66.51939803738425,66.83717009584011,3479,63.300883527192084
90,United States,37.689655172413794,"Oakland, CA",158.88239615952543,78.9049919484702,90.96538936472662,7.971623080290249,35.39434263598424,96.40426004343902,36.18392678674386,3459,88.79794016451629
99,United States,33.74074074074074,"Cleveland, OH",155.59375709581323,82.9413082437276,77.74480308181556,1.8787562057572718,36.638486451080155,73.10600819139951,35.33449805261471,3407,75.4182164766347
100,United States,51.2991452991453,"San Francisco, CA",155.51697364228986,65.16642416553947,124.57569493974292,7.903409954625485,47.5400746004118,97.25767522523428,43.70590804276337,3483,94.05687425143554
101,United States,41.1904761904762,"Honolulu, HI",155.46795196248303,72.41895701198027,75.06525157326112,8.747365878516348,36.66418855916888,95.3301213718305,56.08521288690221,3427,95.59648692474424
107,United States,31.137931034482765,"Baltimore, MD",152.3936641114545,76.57108721624849,102.49392450792824,2.5236306422461987,50.37601391611886,81.23796042302452,25.270439798874932,3396,72.70275181761667
110,United States,31.870967741935484,"Phoenix, AZ",151.32868703707697,66.57860274135516,116.08422302276607,3.371809882409647,56.507308345956396,53.758776049053886,47.9038977514833,3466,66.29151509982803
114,United States,27.361702127659573,"Las Vegas, NV",147.98297098156968,55.80503493521704,108.35921659960948,3.1659430657692402,53.028821020583734,57.40491499223077,44.42789502120968,3438,68.32307330387847
116,United States,28.53571428571429,"Milwaukee, WI",147.67653219102345,65.72826407309165,76.46902633960838,3.2886429636827357,29.544826232666527,60.96070976309273,31.450703195031352,3449,79.94921230952218
118,United States,42.0703125,"Chicago, IL",146.8288225996585,66.4133231950646,106.68725857166233,3.9829974960840158,43.49417511524598,66.11013761898052,35.125634770469155,3405,79.96669542345688
119,United States,43.138888888888886,"Miami, FL",146.7820722251244,62.938267236509645,77.4584521405587,5.677846823852009,39.41048297072279,85.68519809850785,46.851720625242486,3448,78.43261955715126
135,United States,39.19607843137254,"Philadelphia, PA",140.51903674533753,69.38152184677993,85.21646500875538,4.4241050375438515,52.1475267401656,77.97854331007035,38.52771014424183,3465,77.89698759013741
143,United States,43.1310606060606,"New York, NY",137.90377475360145,61.63730434912111,99.99999999999997,9.89253409900159,57.576751711603414,79.66148630331618,53.075179578563535,3455,100.0
156,United States,60.629834254143645,"Los Angeles, CA",129.79117745614846,61.33476190957768,94.67024019736944,7.621192924063538,66.25555123620464,95.50397261459314,51.59232786497767,3442,81.35167315378459
180,United States,45.08571428571429,"Detroit, MI",119.02787873222246,61.07439335887612,73.02999888095427,1.5157677198839623,58.48125843054849,66.02547600103311,26.72113407260227,3414,69.36806717248444
