city_id,health_care_index,crime_index,restaurant_price_index,climate_index,pollution_index,quality_of_life_index,cpi_index,property_price_to_income_ratio,purchasing_power_incl_rent_index,traffic_index,median,mean,std_dev,sum_w
33474,63.888999999999996,14.706,86.21600000000001,79.242,41.034,78.45,35.496,2.498,50.492,194.671,119556.0,129557.0,72516.0,4846.853521999999
34013,70.139,28.529,90.719,75.318,16.379,78.45,35.496,2.661,50.492,168.114,,,,
34096,73.611,33.088,59.157,69.76899999999999,29.425,78.45,35.496,3.364,50.492,200.61700000000002,77012.0,88571.0,60089.0,476.5686069
34280,68.33800000000001,41.165,75.91199999999999,87.03299999999999,25.862,78.45,78.72399999999999,3.423,148.441,168.87099999999998,57712.0,66620.0,45885.0,839.9531552999999
34296,55.556000000000004,20.588,65.233,69.839,5.172000000000001,78.45,35.496,1.935,50.492,65.134,43994.0,52572.0,35035.0,576.9826458
34311,88.889,55.147,59.261,89.87,5.172000000000001,78.45,35.496,5.061,50.492,92.734,69857.0,84295.0,58732.0,399.47369610000004
34457,44.443999999999996,46.471000000000004,61.36600000000001,87.646,31.897,165.91099999999997,60.653,5.261,83.735,97.906,57997.0,67727.0,45618.0,144.62552780000001
34571,66.667,56.373000000000005,58.852,79.936,36.638000000000005,161.695,72.305,2.696,81.47,116.723,36522.0,38996.0,26791.0,328.52792999999997
34585,75.0,14.412,55.35,60.934,18.965999999999998,78.45,35.496,3.304,50.492,175.312,84020.0,94418.0,59877.0,30298.768369999998
34698,100.0,27.941,73.084,96.404,43.966,78.45,35.496,6.3839999999999995,50.492,239.49599999999998,43007.0,57071.0,50318.0,1165.270709
34731,77.778,9.939,49.038000000000004,75.175,1.724,78.45,57.468,0.9059999999999999,239.44,124.494,80183.0,89197.0,58651.0,358.1714523
34781,27.778000000000002,60.294,59.967,75.175,12.069,78.45,68.264,4.31,89.044,142.512,48846.0,63865.0,55716.0,782.7950672999999
35589,76.389,36.029,66.485,75.175,29.9,78.45,55.657,1.172,128.028,167.33,59202.0,68634.0,44211.0,528.3031273
3386,68.96,46.211000000000006,47.275,70.112,52.931000000000004,160.61,63.961000000000006,1.6269999999999998,100.28,129.382,42119.0,53652.0,39327.0,810.9768862999999
3387,66.555,70.005,63.861999999999995,67.062,25.125999999999998,166.222,64.767,3.1430000000000002,102.948,116.45,300000.0,16025.0,7037.0,71.0
3388,74.074,53.24100000000001,72.324,95.411,50.343,154.44899999999998,77.259,5.225,92.736,215.239,300000.0,105938.0,67176.0,126.1570034
3389,61.167,63.248999999999995,73.60300000000001,41.61,16.563,162.595,91.2,2.99,106.53,131.346,84804.0,77110.0,54957.0,37.79753595
3390,82.027,21.218000000000004,74.77600000000001,81.616,17.949,199.938,88.171,6.3839999999999995,121.605,177.863,113550.0,122415.0,64355.0,883.5751916000002
3391,67.34100000000001,62.301,63.236000000000004,89.729,44.848,162.934,75.971,3.641,123.665,204.533,70197.0,94627.0,77357.0,10451.717129999999
3393,70.686,35.874,64.156,82.083,36.367,187.50799999999998,62.218999999999994,3.803,127.851,160.70600000000002,118410.0,122203.0,82938.0,699.6598034
3395,55.833,58.233999999999995,63.687,77.627,79.436,137.64,76.957,3.66,106.81200000000001,101.906,56986.0,71025.0,57439.0,62475.41281
3396,76.571,74.73,71.757,81.238,50.376000000000005,152.563,72.547,2.524,102.87899999999999,122.32600000000001,63290.0,75318.0,50914.0,2639.464674
3397,68.26899999999999,66.609,68.186,86.436,43.089,150.055,65.469,4.257,85.601,164.98,39487.0,56178.0,54542.0,57977.17479
3398,72.97,61.478,67.227,88.16,33.482,165.59799999999998,75.375,2.717,82.824,116.102,74570.0,92018.0,65160.0,1035.308758
3399,82.28,36.792,65.472,65.108,29.158,182.37900000000002,62.448,5.705,96.10700000000001,107.78,47698.0,68382.0,62985.0,1491.107229
3400,75.116,35.298,88.991,71.72800000000001,26.826999999999998,168.206,87.882,8.288,98.91799999999999,213.076,25568.0,48874.0,59523.0,306.81118599999996
3402,76.845,44.993,63.137,66.432,25.017,180.737,72.777,2.01,93.509,109.302,50685.0,59820.0,41523.0,1158.022235
3403,73.884,44.187,69.612,84.046,28.439,186.226,71.848,3.0060000000000002,118.735,167.24099999999999,32508.0,40531.0,38083.0,535.6090115000001
3405,66.413,64.874,74.918,66.11,43.494,147.006,79.796,3.983,107.088,191.199,48321.0,67450.0,62043.0,612241.923
3406,68.77199999999999,49.138999999999996,58.441,73.245,43.821000000000005,170.86599999999999,63.026,2.494,109.92299999999999,120.348,105537.0,119823.0,73356.0,368.9746417
3407,82.941,64.666,67.111,73.10600000000001,36.638000000000005,155.727,75.257,1.879,78.03699999999999,153.494,87111.0,106130.0,79818.0,268.8812957
3408,62.047,37.821,67.205,51.443000000000005,30.888,169.583,73.094,3.87,101.963,119.257,105184.0,113743.0,69854.0,819.9320494
3409,74.191,43.431999999999995,67.312,71.289,25.316999999999997,191.29,72.33,2.416,122.186,120.211,74612.0,84971.0,53545.0,1539.212031
3410,45.64,49.232,56.559,81.32600000000001,47.277,166.03,57.928000000000004,3.9789999999999996,114.928,101.641,38205.0,55275.0,54020.0,230.7551897
3411,65.613,49.714,61.886,81.852,41.917,181.97099999999998,63.615,2.292,143.761,167.363,300000.0,202910.0,64055.0,42.86078324
3412,68.916,43.152,73.679,56.278,43.058,162.718,72.97399999999999,4.376,116.565,172.94799999999998,109574.0,117162.0,68528.0,345.30850150000003
